1 0 24 1
1 0 26 2
1 0 27 4
1 0 28 4
1 0 29 7
1 0 30 3
1 0 31 10
1 0 32 48
1 0 33 4
1 0 34 4
1 0 36 4
1 0 37 1
1 1 27 4
1 1 28 6
1 1 29 7
1 1 30 10
1 1 31 9
1 1 32 62
1 1 33 3
1 1 34 6
1 1 35 1
1 1 36 6
1 1 38 1
2 0 29 1
2 0 30 2
2 0 31 5
2 0 32 51
2 0 33 9
2 0 34 13
2 0 35 2
2 0 36 10
2 0 37 1
2 0 38 5
2 1 28 2
2 1 29 4
2 1 30 4
2 1 31 9
2 1 32 117
2 1 33 23
2 1 34 16
2 1 35 6
2 1 36 19
2 1 37 5
2 1 38 3
3 0 28 2
3 0 30 1
3 0 31 2
3 0 32 19
3 0 33 6
3 0 34 7
3 0 35 9
3 0 36 16
3 0 37 3
3 0 38 13
3 1 27 1
3 1 28 1
3 1 30 3
3 1 31 5
3 1 32 36
3 1 33 10
3 1 34 18
3 1 35 17
3 1 36 30
3 1 37 12
3 1 38 10
