Barrie,-38.70111,121.9167146,44.38,-79.7
Belleville,145.74321,-82.8359816,44.15,-77.37
Brantford,-131.51866,-38.9277965,43.13,-80.27
Brockville,298.02697,-105.6039755,44.59,-75.68
Cornwall,397.22871,-103.6445206,45.02,-74.73
Hamilton,-101.47284,-18.4865757,43.25,-79.86
Huntsville,62.41456,197.9151274,45.31,-79.22
Kingston,214.41469,-129.3939106,44.23,-76.49
Kitchener,-122.68957,-14.982065,43.42,-80.46
London,-207.75236,-51.6295564,42.97,-81.24
NiagaraFalls,-128.72171,-19.1486968,43.09,-79.01
NorthBay,145.73913,299.854283,46.31,-79.45
Ottawa,367.87357,-4.3010846,45.42,-75.68
OwenSound,-144.82323,125.3036987,44.56,-80.93
Peterborough,82.5378,0.5508137,44.31,-78.32
Sarnia,-298.69291,-39.4332816,42.97,-82.4
StCatharines,-117.19167,-16.794812,43.16,-79.23
Toronto,-34.25551,-4.7492448,43.66,-79.38
Windsor,-388.15907,-115.6091356,42.27,-83.02
